Date,Open,High,Low,Close,Volume
2020-04-28,705.42,718.88,705.42,715.79,5034021607
2020-04-29,715.79,742.71,715.79,741.4,10027264587
2020-04-30,741.37,741.37,727.76,729.49,5801437543
2020-05-01,729.3,729.3,707.81,710.86,4321919462
2020-05-04,710.85,710.85,700.95,709.73,4161402971
2020-05-05,709.75,721.77,709.75,710.4,4557693145
2020-05-06,710.4,714.31,702.69,702.75,4274954020
2020-05-07,702.76,714.87,702.76,710.76,4562810795
2020-05-08,710.77,726.39,710.77,726.39,4329500070
2020-05-11,726.38,726.38,716.07,720.28,4272036628
2020-05-12,720.29,723.87,708.08,708.08,4511514624
2020-05-13,708.09,708.09,685.5,688.94,5489939653
2020-05-14,688.95,691.33,669.42,691.33,4975036762
2020-05-15,691.32,695.55,686.75,694.53,4904836739
2020-05-18,694.56,724.18,694.56,723.03,5697480076
2020-05-19,723.06,725.98,716.94,717.93,4454474679
2020-05-20,717.95,731.23,717.95,729.85,4429475719
2020-05-21,729.9,732.58,726.12,730.94,4398915076
2020-05-22,730.94,731.32,725.32,731.24,3530501950
2020-05-26,731.43,752.14,731.43,749.52,5211568101
2020-05-27,749.59,763.65,749.19,763.65,5660298047
2020-05-28,763.65,767.5,756.68,757.73,4728086650
2020-05-29,757.73,757.73,748.52,754.67,5595633436
2020-06-01,754.77,765.95,754.77,763.7,4155443642
2020-06-02,763.7,772.76,763.7,771.69,4556468477
2020-06-03,771.72,789.64,771.72,788.67,5421812856
2020-06-04,788.67,794.36,784.45,793.74,5691402869
2020-06-05,793.75,822.36,793.75,818.69,7616897998
2020-06-08,818.82,841.32,818.82,841.32,7554066218
2020-06-09,841.19,841.19,822.51,826.01,5615398923
2020-06-10,825.83,825.83,807.39,811.32,5872373934
2020-06-11,811.1,811.1,763.66,764.32,5819587531
2020-06-12,764.62,786.7,764.62,777.74,5060743209
2020-06-15,777.74,785.81,760.18,783.61,4425111970
2020-06-16,783.72,803.18,783.72,795.52,4404404715
2020-06-17,795.52,797,789.09,789.43,3644206849
2020-06-18,789.43,791.91,784.69,787.47,3682386055
2020-06-19,787.47,794.07,781.56,783.14,6428966456
2020-06-22,783.13,784.3,778.35,784.26,3996090845
2020-06-23,784.27,790.77,784.27,786.51,4074118800
2020-06-24,786.5,786.5,761.96,766.83,4678603904
2020-06-25,766.83,771.75,762.47,771.71,3791603215
2020-06-26,771.71,771.71,757.36,759.39,6352232186
2020-06-29,759.39,771.97,759.39,771.09,3762229117
2020-06-30,771.07,776.62,768.48,775.68,3971657767
2020-07-01,775.68,781.38,773.49,774.84,3606444503
2020-07-02,774.85,786.57,774.85,778.59,3576311590
2020-07-06,778.8,790.56,778.8,785.92,4057310716
2020-07-07,785.92,785.92,775.38,775.55,4005782431
2020-07-08,775.59,780.21,772.83,778.56,4344484646
2020-07-09,778.61,779.12,765.39,768.62,3926471995
